-0.1,-1.9714e-05,-9.1156e-06,-1.7025e-05,-8.6384e-06,-1.6813e-05
-0.09,-1.7477e-05,-8.1197e-06,-1.5322e-05,-7.7338e-06,-1.5052e-05
-0.08,-1.5303e-05,-7.1438e-06,-1.362e-05,-6.8387e-06,-1.3309e-05
-0.07,-1.3192e-05,-6.1875e-06,-1.1917e-05,-5.9529e-06,-1.1585e-05
-0.06,-1.1142e-05,-5.2503e-06,-1.0215e-05,-5.0762e-06,-9.8784e-06
-0.05,-9.1491e-06,-4.3317e-06,-8.5124e-06,-4.2084e-06,-8.1895e-06
-0.04,-7.2131e-06,-3.4311e-06,-6.8099e-06,-3.3496e-06,-6.518e-06
-0.03,-5.3318e-06,-2.5481e-06,-5.1074e-06,-2.4994e-06,-4.8635e-06
-0.02,-3.5036e-06,-1.6822e-06,-3.4049e-06,-1.6579e-06,-3.2259e-06
-0.01,-1.7269e-06,-8.3296e-07,-1.7025e-06,-8.2477e-07,-1.6048e-06
0,0,0,0,0,0
0.01,1.6786e-06,8.1714e-07,1.7025e-06,8.1656e-07,1.5887e-06
0.02,3.3102e-06,1.6189e-06,3.4049e-06,1.625e-06,3.1616e-06
0.03,4.8965e-06,2.4056e-06,5.1074e-06,2.4256e-06,4.7189e-06
0.04,6.4387e-06,3.1776e-06,6.8099e-06,3.2182e-06,6.2608e-06
0.05,7.9382e-06,3.9354e-06,8.5124e-06,4.0031e-06,7.7876e-06
0.06,9.3963e-06,4.6792e-06,1.0215e-05,4.7805e-06,9.2994e-06
0.07,1.0814e-05,5.4095e-06,1.1917e-05,5.5503e-06,1.0797e-05
0.08,1.2193e-05,6.1266e-06,1.362e-05,6.3127e-06,1.2279e-05
0.09,1.3535e-05,6.8308e-06,1.5322e-05,7.0678e-06,1.3748e-05
0.1,1.4839e-05,7.5224e-06,1.7025e-05,7.8157e-06,1.5202e-05
