-0.1,-0.023401,-0.023181,-0.023401,-0.023181,-0.023401,-0.023181
-0.08,-0.018721,-0.018545,-0.018721,-0.018545,-0.018721,-0.018545
-0.06,-0.01404,-0.013909,-0.01404,-0.013909,-0.01404,-0.013909
-0.04,-0.0093603,-0.0092724,-0.0093603,-0.0092726,-0.0093603,-0.0092726
-0.02,-0.0046802,-0.0046362,-0.0046802,-0.0046363,-0.0046802,-0.0046363
0,0,0,0,0,0,0
0.02,0.0046802,0.0046362,0.0046802,0.0046363,0.0046802,0.0046363
0.04,0.0093603,0.0092724,0.0093603,0.0092726,0.0093603,0.0092726
0.06,0.01404,0.013909,0.01404,0.013909,0.01404,0.013909
0.08,0.018721,0.018545,0.018721,0.018545,0.018721,0.018545
0.1,0.023401,0.023181,0.023401,0.023181,0.023401,0.023181
