-0.1,1.1546e-13,0.019964,0,0.0034428
-0.09,1.0836e-13,0.01784,0,0.0044496
-0.08,9.4147e-14,0.015746,0,0.00513
-0.07,8.0824e-14,0.013681,0,0.0054947
-0.06,6.5725e-14,0.011645,0,0.0055536
-0.05,5.6843e-14,0.0096375,0,0.0053164
-0.04,4.7962e-14,0.0076573,0,0.0047923
-0.03,3.1974e-14,0.005704,0,0.0039903
-0.02,2.4869e-14,0.0037771,0,0.0029189
-0.01,1.5099e-14,0.001876,0,0.0015862
0,0,0,0,0
0.01,-5.3291e-15,-0.0018513,0,-0.0018321
0.02,-2.4869e-14,-0.0036785,0,-0.0039029
0.03,-2.8422e-14,-0.005482,0,-0.0062054
0.04,-3.9968e-14,-0.0072624,0,-0.008733
0.05,-4.5297e-14,-0.0090202,0,-0.011479
0.06,-6.1284e-14,-0.010756,0,-0.014438
0.07,-7.3719e-14,-0.01247,0,-0.017603
0.08,-8.3489e-14,-0.014162,0,-0.020969
0.09,-9.0594e-14,-0.015834,0,-0.02453
0.1,-9.5923e-14,-0.017485,0,-0.028281
