-0.1,0.0070506,0.0078371,0.0068956,0.0074883,0.0074883,0.0072529
-0.08,0.0056152,0.0057868,0.0055165,0.0059282,0.0059282,0.0057378
-0.06,0.0041926,0.0046271,0.0041374,0.0044004,0.0044004,0.004256
-0.04,0.0027827,0.0031332,0.0027582,0.0029036,0.0029036,0.0028064
-0.02,0.0013852,0.0015733,0.0013791,0.0014372,0.0014372,0.001388
0,0,0,0,0,0,0
0.02,-0.0013731,-0.0011118,-0.0013791,-0.0014087,-0.0014087,-0.0013586
0.04,-0.0027342,-0.002422,-0.0027582,-0.0027898,-0.0027898,-0.0026886
0.06,-0.0040836,-0.0039352,-0.0041374,-0.004144,-0.004144,-0.0039909
0.08,-0.0054213,-0.0050939,-0.0055165,-0.0054722,-0.0054722,-0.0052663
0.1,-0.0067476,-0.0066481,-0.0068956,-0.0067751,-0.0067751,-0.0065156
