-0.1,-0.078997,-0.078984,-0.078997,-0.078984
-0.09,-0.071097,-0.071086,-0.071097,-0.071086
-0.08,-0.063197,-0.063187,-0.063197,-0.063187
-0.07,-0.055298,-0.055289,-0.055298,-0.055289
-0.06,-0.047398,-0.04739,-0.047398,-0.04739
-0.05,-0.039498,-0.039492,-0.039498,-0.039492
-0.04,-0.031599,-0.031594,-0.031599,-0.031594
-0.03,-0.023699,-0.023695,-0.023699,-0.023695
-0.02,-0.015799,-0.015797,-0.015799,-0.015797
-0.01,-0.0078997,-0.0078984,-0.0078997,-0.0078984
0,0,0,0,0
0.01,0.0078997,0.0078984,0.0078997,0.0078984
0.02,0.015799,0.015797,0.015799,0.015797
0.03,0.023699,0.023695,0.023699,0.023695
0.04,0.031599,0.031594,0.031599,0.031594
0.05,0.039498,0.039492,0.039498,0.039492
0.06,0.047398,0.04739,0.047398,0.04739
0.07,0.055298,0.055289,0.055298,0.055289
0.08,0.063197,0.063187,0.063197,0.063187
0.09,0.071097,0.071086,0.071097,0.071086
0.1,0.078997,0.078984,0.078997,0.078984
