-0.1,-0.1758,-0.17561,-0.1758,-0.17561,-0.1758,-0.17561
-0.08,-0.14064,-0.14049,-0.14064,-0.14049,-0.14064,-0.14049
-0.06,-0.10548,-0.10537,-0.10548,-0.10537,-0.10548,-0.10537
-0.04,-0.070321,-0.070244,-0.070321,-0.070244,-0.070321,-0.070244
-0.02,-0.03516,-0.035122,-0.03516,-0.035122,-0.03516,-0.035122
0,0,0,0,0,0,0
0.02,0.03516,0.035122,0.03516,0.035122,0.03516,0.035122
0.04,0.070321,0.070244,0.070321,0.070244,0.070321,0.070244
0.06,0.10548,0.10537,0.10548,0.10537,0.10548,0.10537
0.08,0.14064,0.14049,0.14064,0.14049,0.14064,0.14049
0.1,0.1758,0.17561,0.1758,0.17561,0.1758,0.17561
