0,0,0,0,0,0,0,0
0.005,0.018234,0.018052,0.01815,0.017971,0.017971,0.018144,0.01815
0.01,0.036635,0.036269,0.036301,0.035941,0.035941,0.036289,0.0363
0.015,0.055207,0.054653,0.054451,0.053912,0.053912,0.054434,0.054449
0.02,0.073952,0.073206,0.072601,0.071882,0.071882,0.07258,0.072599
0.025,0.092872,0.091931,0.090752,0.089853,0.089853,0.090726,0.090749
0.03,0.11197,0.11083,0.1089,0.10782,0.10782,0.10887,0.1089
0.035,0.13125,0.12991,0.12705,0.12579,0.12579,0.12702,0.12705
0.04,0.15071,0.14916,0.1452,0.14376,0.14376,0.14517,0.1452
0.045,0.17036,0.1686,0.16335,0.16173,0.16173,0.16332,0.16335
0.05,0.19019,0.18822,0.1815,0.17971,0.17971,0.18146,0.1815
0.055,0.21022,0.20802,0.19965,0.19768,0.19768,0.19961,0.19965
0.06,0.23044,0.22802,0.2178,0.21565,0.21565,0.21776,0.2178
0.065,0.25085,0.24821,0.23595,0.23362,0.23362,0.23591,0.23595
0.07,0.27147,0.26859,0.25411,0.25159,0.25159,0.25406,0.2541
0.075,0.29228,0.28918,0.27226,0.26956,0.26956,0.27222,0.27225
0.08,0.31331,0.30996,0.29041,0.28753,0.28753,0.29037,0.2904
0.085,0.33454,0.33095,0.30856,0.3055,0.3055,0.30852,0.30855
0.09,0.35598,0.35214,0.32671,0.32347,0.32347,0.32667,0.3267
0.095,0.37764,0.37355,0.34486,0.34144,0.34144,0.34483,0.34485
0.1,0.39952,0.39517,0.36301,0.35941,0.35941,0.36298,0.36299
