0,0,0,0,0,0,0,0
0.005,0.00042624,0.00036751,0.00042608,0.00037047,0.00037047,0.00042687,0.00035015
0.01,0.00085278,0.00074477,0.00085215,0.00073764,0.00073764,0.00084882,0.00069717
0.015,0.0012796,0.0011119,0.0012782,0.0011015,0.0011015,0.0012659,0.0010411
0.02,0.0017067,0.0014841,0.0017043,0.0014622,0.0014622,0.0016783,0.001382
0.025,0.0021341,0.0018552,0.0021304,0.0018198,0.0018198,0.0020859,0.0017199
0.03,0.0025616,0.0022319,0.0025565,0.0021741,0.0021741,0.0024888,0.0020548
0.035,0.0029894,0.0025967,0.0029825,0.0025254,0.0025254,0.0028872,0.0023869
0.04,0.0034174,0.0029699,0.0034086,0.0028737,0.0028737,0.003281,0.002716
0.045,0.0038456,0.0033408,0.0038347,0.0032189,0.0032189,0.0036703,0.0030423
0.05,0.0042739,0.0037088,0.0042608,0.0035611,0.0035611,0.0040552,0.0033658
0.055,0.0047024,0.0040829,0.0046868,0.0039005,0.0039005,0.0044358,0.0036865
0.06,0.005131,0.0044477,0.0051129,0.0042369,0.0042369,0.0048121,0.0040044
0.065,0.0055597,0.0048165,0.005539,0.0045704,0.0045704,0.0051841,0.0043197
0.07,0.0059885,0.005187,0.0059651,0.0049012,0.0049012,0.0055519,0.0046323
0.075,0.0064173,0.0055543,0.0063911,0.0052291,0.0052291,0.0059155,0.0049422
0.08,0.0068463,0.0059266,0.0068172,0.0055543,0.0055543,0.0062751,0.0052496
0.085,0.0072753,0.0062903,0.0072433,0.0058768,0.0058768,0.0066306,0.0055544
0.09,0.0077043,0.0066578,0.0076694,0.0061966,0.0061966,0.0069821,0.0058566
0.095,0.0081333,0.0070283,0.0080954,0.0065137,0.0065137,0.0073297,0.0061563
0.1,0.0085624,0.0073961,0.0085215,0.0068283,0.0068283,0.0076734,0.0064536
