0,0,0,0,0,0,0,0
0.005,0.00117,0.0011597,0.00117,0.0011585,0.00117,0.0011585,0.00117
0.01,0.0023401,0.0023193,0.0023401,0.002317,0.0023401,0.002317,0.0023401
0.015,0.0035101,0.003479,0.0035101,0.0034755,0.0035101,0.0034755,0.0035101
0.02,0.0046802,0.0046386,0.0046802,0.004634,0.0046802,0.004634,0.0046802
0.025,0.0058502,0.0057983,0.0058502,0.0057924,0.0058502,0.0057924,0.0058502
0.03,0.0070202,0.0069579,0.0070202,0.0069509,0.0070202,0.0069509,0.0070202
0.035,0.0081903,0.0081176,0.0081903,0.0081094,0.0081903,0.0081094,0.0081903
0.04,0.0093603,0.0092772,0.0093603,0.0092679,0.0093603,0.0092679,0.0093603
0.045,0.01053,0.010437,0.01053,0.010426,0.01053,0.010426,0.01053
0.05,0.0117,0.011597,0.0117,0.011585,0.0117,0.011585,0.0117
0.055,0.01287,0.012756,0.01287,0.012743,0.01287,0.012743,0.01287
0.06,0.01404,0.013916,0.01404,0.013902,0.01404,0.013902,0.01404
0.065,0.015211,0.015075,0.015211,0.01506,0.015211,0.01506,0.015211
0.07,0.016381,0.016235,0.016381,0.016219,0.016381,0.016219,0.016381
0.075,0.017551,0.017395,0.017551,0.017377,0.017551,0.017377,0.017551
0.08,0.018721,0.018554,0.018721,0.018536,0.018721,0.018536,0.018721
0.085,0.019891,0.019714,0.019891,0.019694,0.019891,0.019694,0.019891
0.09,0.021061,0.020874,0.021061,0.020853,0.021061,0.020853,0.021061
0.095,0.022231,0.022033,0.022231,0.022011,0.022231,0.022011,0.022231
0.1,0.023401,0.023193,0.023401,0.02317,0.023401,0.02317,0.023401
