0,0,0,0,0,0,0,0
0.005,0.0065838,0.0065306,0.0065775,0.0065364,0.0065404,0.006572,0.006415
0.01,0.01318,0.013072,0.013155,0.013073,0.013081,0.013144,0.01283
0.015,0.019789,0.019667,0.019733,0.019609,0.019621,0.019716,0.019245
0.02,0.02641,0.026215,0.02631,0.026146,0.026162,0.026288,0.02566
0.025,0.033044,0.032806,0.032888,0.032683,0.032703,0.032861,0.032075
0.03,0.039691,0.039407,0.039465,0.039219,0.039243,0.039433,0.038491
0.035,0.04635,0.046029,0.046043,0.045756,0.045784,0.046005,0.044906
0.04,0.053022,0.052664,0.05262,0.052293,0.052325,0.052578,0.051322
0.045,0.059706,0.059308,0.059198,0.05883,0.058866,0.05915,0.057737
0.05,0.066404,0.065949,0.065775,0.065367,0.065407,0.065723,0.064153
0.055,0.073114,0.072638,0.072353,0.071904,0.071948,0.072295,0.070568
0.06,0.079837,0.079301,0.07893,0.078441,0.078489,0.078868,0.076984
0.065,0.086573,0.085988,0.085508,0.084979,0.08503,0.085441,0.0834
0.07,0.093322,0.09266,0.092085,0.091516,0.091571,0.092013,0.089815
0.075,0.10008,0.099393,0.098663,0.098053,0.098113,0.098586,0.096231
0.08,0.10686,0.10611,0.10524,0.10459,0.10465,0.10516,0.10265
0.085,0.11365,0.11283,0.11182,0.11113,0.1112,0.11173,0.10906
0.09,0.12045,0.11959,0.1184,0.11767,0.11774,0.11831,0.11548
0.095,0.12726,0.12637,0.12497,0.1242,0.12428,0.12488,0.1219
0.1,0.13409,0.13311,0.13155,0.13074,0.13082,0.13145,0.12831
