0,0,0,0,0,0,0,0
0.005,-0.001051,-0.0010175,-0.001052,-0.0010148,-0.0010148,-0.0010504,-0.00088937
0.01,-0.0021001,-0.0020472,-0.002104,-0.0020295,-0.0020295,-0.0021007,-0.0017787
0.015,-0.0031473,-0.0030452,-0.003156,-0.0030441,-0.0030441,-0.003151,-0.0026679
0.02,-0.0041926,-0.0040681,-0.0042079,-0.0040586,-0.0040586,-0.0042013,-0.0035571
0.025,-0.0052359,-0.0050582,-0.0052599,-0.0050731,-0.0050731,-0.0052515,-0.0044462
0.03,-0.0062773,-0.0060612,-0.0063119,-0.0060876,-0.0060876,-0.0063016,-0.0053353
0.035,-0.0073169,-0.0070674,-0.0073639,-0.0071019,-0.0071019,-0.0073517,-0.0062243
0.04,-0.0083545,-0.0080744,-0.0084159,-0.0081162,-0.0081162,-0.0084017,-0.0071132
0.045,-0.0093903,-0.009074,-0.0094679,-0.0091305,-0.0091305,-0.0094517,-0.0080021
0.05,-0.010424,-0.010064,-0.01052,-0.010145,-0.010145,-0.010502,-0.0088909
0.055,-0.011456,-0.011081,-0.011572,-0.011159,-0.011159,-0.011551,-0.0097797
0.06,-0.012486,-0.012055,-0.012624,-0.012173,-0.012173,-0.012601,-0.010668
0.065,-0.013515,-0.013054,-0.013676,-0.013187,-0.013187,-0.013651,-0.011557
0.07,-0.014541,-0.014056,-0.014728,-0.014201,-0.014201,-0.014701,-0.012446
0.075,-0.015566,-0.015051,-0.01578,-0.015214,-0.015214,-0.01575,-0.013334
0.08,-0.016588,-0.016025,-0.016832,-0.016228,-0.016228,-0.0168,-0.014223
0.085,-0.017609,-0.017016,-0.017884,-0.017242,-0.017242,-0.01785,-0.015111
0.09,-0.018628,-0.017988,-0.018936,-0.018256,-0.018256,-0.018899,-0.015999
0.095,-0.019645,-0.018964,-0.019988,-0.019269,-0.019269,-0.019949,-0.016888
0.1,-0.020661,-0.019954,-0.02104,-0.020283,-0.020283,-0.020998,-0.017776
