-0.1,-0.63929,-0.63924,-0.63929,-0.63924
-0.09,-0.57536,-0.57532,-0.57536,-0.57532
-0.08,-0.51143,-0.51139,-0.51143,-0.51139
-0.07,-0.4475,-0.44747,-0.4475,-0.44747
-0.06,-0.38357,-0.38354,-0.38357,-0.38354
-0.05,-0.31964,-0.31962,-0.31964,-0.31962
-0.04,-0.25571,-0.2557,-0.25571,-0.2557
-0.03,-0.19179,-0.19177,-0.19179,-0.19177
-0.02,-0.12786,-0.12785,-0.12786,-0.12785
-0.01,-0.063929,-0.063924,-0.063929,-0.063924
0,0,0,0,0
0.01,0.063929,0.063924,0.063929,0.063924
0.02,0.12786,0.12785,0.12786,0.12785
0.03,0.19179,0.19177,0.19179,0.19177
0.04,0.25571,0.2557,0.25571,0.2557
0.05,0.31964,0.31962,0.31964,0.31962
0.06,0.38357,0.38354,0.38357,0.38354
0.07,0.4475,0.44747,0.4475,0.44747
0.08,0.51143,0.51139,0.51143,0.51139
0.09,0.57536,0.57532,0.57536,0.57532
0.1,0.63929,0.63924,0.63929,0.63924
