0,0,0,0,0,0,0
0.01,3.2674e-06,1.481e-06,3.3152e-06,1.4812e-06,1.4812e-06,3.0827e-06
0.02,6.4413e-06,2.9318e-06,6.6304e-06,2.9478e-06,2.9478e-06,6.1349e-06
0.03,9.5244e-06,4.3532e-06,9.9455e-06,4.3999e-06,4.3999e-06,9.157e-06
0.04,1.252e-05,5.7461e-06,1.3261e-05,5.8378e-06,5.8378e-06,1.2149e-05
0.05,1.5429e-05,7.111e-06,1.6576e-05,7.2616e-06,7.2616e-06,1.5113e-05
0.06,1.8257e-05,8.4488e-06,1.9891e-05,8.6716e-06,8.6716e-06,1.8047e-05
0.07,2.1004e-05,9.7601e-06,2.3206e-05,1.0068e-05,1.0068e-05,2.0953e-05
0.08,2.3673e-05,1.1046e-05,2.6521e-05,1.1451e-05,1.1451e-05,2.3832e-05
0.09,2.6267e-05,1.2306e-05,2.9837e-05,1.2821e-05,1.2821e-05,2.6682e-05
0.1,2.8787e-05,1.3542e-05,3.3152e-05,1.4177e-05,1.4177e-05,2.9506e-05
