-0.1,-0.025569,-0.025658,-0.026007,-0.026081,-0.026081,-0.025997,-0.021657
-0.08,-0.020524,-0.020595,-0.020806,-0.020863,-0.020863,-0.020796,-0.017324
-0.06,-0.015445,-0.015493,-0.015604,-0.015645,-0.015645,-0.015596,-0.012991
-0.04,-0.010332,-0.010367,-0.010403,-0.010429,-0.010429,-0.010396,-0.00866
-0.02,-0.0051836,-0.0052097,-0.0052014,-0.005214,-0.005214,-0.0051977,-0.0043295
0,0,0,0,0,0,0,0
0.02,0.0052193,0.0052161,0.0052014,0.005213,0.005213,0.0051969,0.0043286
0.04,0.010475,0.010489,0.010403,0.010425,0.010425,0.010393,0.0086562
0.06,0.015767,0.015793,0.015604,0.015636,0.015636,0.015588,0.012983
0.08,0.021096,0.02112,0.020806,0.020845,0.020845,0.020782,0.017309
0.1,0.026462,0.026477,0.026007,0.026054,0.026054,0.025976,0.021634
