-0.1,0.032,0.034575,0.029877,0.035779
-0.09,0.028596,0.030968,0.026889,0.031847
-0.08,0.02524,0.02729,0.023901,0.028001
-0.07,0.021932,0.023674,0.020914,0.024237
-0.06,0.018669,0.020205,0.017926,0.020554
-0.05,0.01545,0.016713,0.014938,0.016948
-0.04,0.012276,0.013263,0.011951,0.013417
-0.03,0.0091448,0.0098888,0.008963,0.0099591
-0.02,0.0060556,0.0065233,0.0059753,0.0065716
-0.01,0.0030076,0.0032732,0.0029877,0.0032526
0,0,0,0,0
0.01,-0.002968,-0.0031705,-0.0029877,-0.0031882
0.02,-0.0058972,-0.0062952,-0.0059753,-0.0063139
0.03,-0.0087884,-0.0094402,-0.008963,-0.0093789
0.04,-0.011642,-0.01248,-0.011951,-0.012385
0.05,-0.01446,-0.015551,-0.014938,-0.015334
0.06,-0.017241,-0.018517,-0.017926,-0.018227
0.07,-0.019988,-0.021424,-0.020914,-0.021066
0.08,-0.0227,-0.024374,-0.023901,-0.023853
0.09,-0.025378,-0.027245,-0.026889,-0.026588
0.1,-0.028023,-0.03012,-0.029877,-0.029274
