-0.1,0.17803,0.17334,0.16359,0.15973,0.16304
-0.09,0.15882,0.15469,0.14724,0.14376,0.14672
-0.08,0.13995,0.13635,0.13088,0.12778,0.13041
-0.07,0.12141,0.11832,0.11452,0.11181,0.11411
-0.06,0.10318,0.10058,0.098157,0.095837,0.097801
-0.05,0.085254,0.083131,0.081797,0.079864,0.081496
-0.04,0.067632,0.065966,0.065438,0.063891,0.065194
-0.03,0.050302,0.049076,0.049078,0.047919,0.048893
-0.02,0.033258,0.032456,0.032719,0.031946,0.032593
-0.01,0.016493,0.016099,0.016359,0.015973,0.016296
0,0,0,0,0,0
0.01,-0.016228,-0.015848,-0.016359,-0.015973,-0.016294
0.02,-0.032197,-0.031451,-0.032719,-0.031946,-0.032587
0.03,-0.047912,-0.046814,-0.049078,-0.047919,-0.048878
0.04,-0.063381,-0.061942,-0.065438,-0.063892,-0.065168
0.05,-0.078609,-0.076841,-0.081797,-0.079864,-0.081456
0.06,-0.093601,-0.091516,-0.098157,-0.095837,-0.097742
0.07,-0.10836,-0.10597,-0.11452,-0.11181,-0.11403
0.08,-0.1229,-0.12021,-0.13088,-0.12778,-0.13031
0.09,-0.13722,-0.13424,-0.14724,-0.14376,-0.14659
0.1,-0.15132,-0.14807,-0.16359,-0.15973,-0.16287
