-0.1,-0.11051,-0.11043,-0.11051,-0.11043,-0.11051,-0.11043,-0.11051
-0.08,-0.088409,-0.088345,-0.088409,-0.088345,-0.088409,-0.088345,-0.088409
-0.06,-0.066307,-0.066259,-0.066307,-0.066259,-0.066307,-0.066259,-0.066307
-0.04,-0.044204,-0.044172,-0.044204,-0.044173,-0.044204,-0.044173,-0.044204
-0.02,-0.022102,-0.022086,-0.022102,-0.022086,-0.022102,-0.022086,-0.022102
0,0,0,0,0,0,0,0
0.02,0.022102,0.022086,0.022102,0.022086,0.022102,0.022086,0.022102
0.04,0.044204,0.044172,0.044204,0.044173,0.044204,0.044173,0.044204
0.06,0.066307,0.066259,0.066307,0.066259,0.066307,0.066259,0.066307
0.08,0.088409,0.088345,0.088409,0.088345,0.088409,0.088345,0.088409
0.1,0.11051,0.11043,0.11051,0.11043,0.11051,0.11043,0.11051
