-0.1,0.042133,0.046971,0.040494,0.049717,0.049717,0.044301,0.052851
-0.08,0.033428,0.037296,0.032395,0.039002,0.039002,0.034798,0.041461
-0.06,0.024869,0.027729,0.024296,0.028695,0.028695,0.025635,0.030504
-0.04,0.016448,0.018372,0.016198,0.018773,0.018773,0.016793,0.019956
-0.02,0.0081606,0.009114,0.0080988,0.0092143,0.0092143,0.008253,0.0097952
0,0,0,0,0,0,0,0
0.02,-0.0080387,-0.0089517,-0.0080988,-0.0088884,-0.0088884,-0.0079817,-0.0094488
0.04,-0.01596,-0.017808,-0.016198,-0.017468,-0.017468,-0.015706,-0.018569
0.06,-0.023769,-0.026579,-0.024296,-0.025755,-0.025755,-0.023186,-0.027378
0.08,-0.03147,-0.035165,-0.032395,-0.033763,-0.033763,-0.030435,-0.035891
0.1,-0.039066,-0.043682,-0.040494,-0.041507,-0.041507,-0.037463,-0.044123
