-0.1,-0.078997,-0.088134,-0.078997,-0.088134
-0.09,-0.071097,-0.079321,-0.071097,-0.079321
-0.08,-0.063197,-0.070508,-0.063197,-0.070508
-0.07,-0.055298,-0.061694,-0.055298,-0.061694
-0.06,-0.047398,-0.052881,-0.047398,-0.052881
-0.05,-0.039498,-0.044067,-0.039498,-0.044067
-0.04,-0.031599,-0.035254,-0.031599,-0.035254
-0.03,-0.023699,-0.02644,-0.023699,-0.02644
-0.02,-0.015799,-0.017627,-0.015799,-0.017627
-0.01,-0.0078997,-0.0088134,-0.0078997,-0.0088134
0,0,0,0,0
0.01,0.0078997,0.0088134,0.0078997,0.0088134
0.02,0.015799,0.017627,0.015799,0.017627
0.03,0.023699,0.02644,0.023699,0.02644
0.04,0.031599,0.035254,0.031599,0.035254
0.05,0.039498,0.044067,0.039498,0.044067
0.06,0.047398,0.052881,0.047398,0.052881
0.07,0.055298,0.061694,0.055298,0.061694
0.08,0.063197,0.070508,0.063197,0.070508
0.09,0.071097,0.079321,0.071097,0.079321
0.1,0.078997,0.088134,0.078997,0.088134
