-0.1,0.030945,0.029104,0.030401,0.028577,0.028577,0.030289,0.028632
-0.08,0.024667,0.023203,0.024321,0.022866,0.022866,0.024234,0.02291
-0.06,0.018435,0.017344,0.018241,0.017153,0.017153,0.018178,0.017185
-0.04,0.012246,0.011524,0.01216,0.011437,0.011437,0.01212,0.011459
-0.02,0.0061016,0.005744,0.0060802,0.0057195,0.0057195,0.006061,0.0057304
0,0,0,0,0,0,0,0
0.02,-0.006059,-0.005708,-0.0060802,-0.0057215,-0.0057215,-0.0060626,-0.0057324
0.04,-0.012076,-0.011379,-0.01216,-0.011445,-0.011445,-0.012127,-0.011467
0.06,-0.018051,-0.017013,-0.018241,-0.017171,-0.017171,-0.018192,-0.017203
0.08,-0.023985,-0.022612,-0.024321,-0.022898,-0.022898,-0.02426,-0.022942
0.1,-0.029878,-0.028177,-0.030401,-0.028628,-0.028628,-0.030329,-0.028682
