0,0,0,0,0,0,0
0.01,-0.019794,-0.019796,-0.019991,-0.019994,-0.019994,-0.019992
0.02,-0.0392,-0.039205,-0.039983,-0.039988,-0.039988,-0.039984
0.03,-0.058229,-0.058237,-0.059974,-0.059983,-0.059983,-0.059976
0.04,-0.076894,-0.076903,-0.079966,-0.079977,-0.079977,-0.079968
0.05,-0.095202,-0.095213,-0.099957,-0.099971,-0.099971,-0.09996
0.06,-0.11317,-0.11318,-0.11995,-0.11997,-0.11997,-0.11995
0.07,-0.13079,-0.13081,-0.13994,-0.13996,-0.13996,-0.13994
0.08,-0.1481,-0.14811,-0.15993,-0.15995,-0.15995,-0.15994
0.09,-0.16508,-0.1651,-0.17992,-0.17995,-0.17995,-0.17993
0.1,-0.18176,-0.18178,-0.19991,-0.19994,-0.19994,-0.19992
