-0.1,0.16257,0.15916,0.16257,0.15916,0.16228
-0.09,0.14631,0.14324,0.14631,0.14324,0.14605
-0.08,0.13005,0.12733,0.13005,0.12733,0.12983
-0.07,0.1138,0.11141,0.1138,0.11141,0.1136
-0.06,0.097541,0.095495,0.097541,0.095495,0.097369
-0.05,0.081284,0.079579,0.081284,0.079579,0.081141
-0.04,0.065027,0.063663,0.065027,0.063663,0.064913
-0.03,0.04877,0.047747,0.04877,0.047747,0.048685
-0.02,0.032514,0.031832,0.032514,0.031832,0.032456
-0.01,0.016257,0.015916,0.016257,0.015916,0.016228
0,0,0,0,0,0
0.01,-0.016257,-0.015916,-0.016257,-0.015916,-0.016228
0.02,-0.032514,-0.031832,-0.032514,-0.031832,-0.032456
0.03,-0.04877,-0.047747,-0.04877,-0.047747,-0.048685
0.04,-0.065027,-0.063663,-0.065027,-0.063663,-0.064913
0.05,-0.081284,-0.079579,-0.081284,-0.079579,-0.081141
0.06,-0.097541,-0.095495,-0.097541,-0.095495,-0.097369
0.07,-0.1138,-0.11141,-0.1138,-0.11141,-0.1136
0.08,-0.13005,-0.12733,-0.13005,-0.12733,-0.12983
0.09,-0.14631,-0.14324,-0.14631,-0.14324,-0.14605
0.1,-0.16257,-0.15916,-0.16257,-0.15916,-0.16228
