-0.1,-7.7044e-05,-3.3372e-05,-6.6307e-05,-3.1538e-05,-3.1538e-05,-6.5808e-05,-5.5108e-05
-0.08,-5.9769e-05,-2.6114e-05,-5.3045e-05,-2.4967e-05,-2.4967e-05,-5.2098e-05,-4.3627e-05
-0.06,-4.3485e-05,-1.9164e-05,-3.9784e-05,-1.8532e-05,-1.8532e-05,-3.867e-05,-3.2383e-05
-0.04,-2.8133e-05,-1.2505e-05,-2.6523e-05,-1.2229e-05,-1.2229e-05,-2.5517e-05,-2.1369e-05
-0.02,-1.3655e-05,-6.1215e-06,-1.3261e-05,-6.0527e-06,-6.0527e-06,-1.263e-05,-1.0576e-05
0,0,0,0,0,0,0,0
0.02,1.2883e-05,5.8735e-06,1.3261e-05,5.9328e-06,5.9328e-06,1.2379e-05,1.0367e-05
0.04,2.504e-05,1.1512e-05,2.6523e-05,1.1749e-05,1.1749e-05,2.4516e-05,2.0531e-05
0.06,3.6515e-05,1.6927e-05,3.9784e-05,1.7453e-05,1.7453e-05,3.6416e-05,3.0497e-05
0.08,4.7348e-05,2.2129e-05,5.3045e-05,2.3047e-05,2.3047e-05,4.8088e-05,4.0271e-05
0.1,5.7577e-05,2.7131e-05,6.6307e-05,2.8534e-05,2.8534e-05,5.9537e-05,4.986e-05
