-0.1,-0.1758,-0.1756,-0.1758,-0.1756,-0.1758,-0.1756,-0.1758
-0.08,-0.14064,-0.14048,-0.14064,-0.14048,-0.14064,-0.14048,-0.14064
-0.06,-0.10548,-0.10536,-0.10548,-0.10536,-0.10548,-0.10536,-0.10548
-0.04,-0.070321,-0.070241,-0.070321,-0.070241,-0.070321,-0.070241,-0.070321
-0.02,-0.03516,-0.035121,-0.03516,-0.03512,-0.03516,-0.03512,-0.03516
0,0,0,0,0,0,0,0
0.02,0.03516,0.035121,0.03516,0.03512,0.03516,0.03512,0.03516
0.04,0.070321,0.070241,0.070321,0.070241,0.070321,0.070241,0.070321
0.06,0.10548,0.10536,0.10548,0.10536,0.10548,0.10536,0.10548
0.08,0.14064,0.14048,0.14064,0.14048,0.14064,0.14048,0.14064
0.1,0.1758,0.1756,0.1758,0.1756,0.1758,0.1756,0.1758
