-0.1,4.996e-15,0.0014305,0,6.3901e-05,-0.0011874
-0.09,4.2188e-15,0.0012783,0,0.00017257,-0.00094119
-0.08,4.4409e-15,0.0011283,0,0.00025345,-0.0007258
-0.07,3.7748e-15,0.00098032,0,0.00030743,-0.0005402
-0.06,3.7748e-15,0.00083444,0,0.00033537,-0.00038344
-0.05,2.7756e-15,0.00069058,0,0.0003381,-0.0002546
-0.04,1.9984e-15,0.00054869,0,0.0003164,-0.00015282
-0.03,2.2204e-15,0.00040873,0,0.00027103,-7.7256e-05
-0.02,1.7764e-15,0.00027066,0,0.00020272,-2.7106e-05
-0.01,1.1102e-15,0.00013443,0,0.00011215,-1.6001e-06
0,0,0,0,0,0
0.01,4.4409e-16,-0.00013266,0,-0.00013309,-2.1595e-05
0.02,2.2204e-16,-0.0002636,0,-0.00028651,-6.5703e-05
0.03,-2.2204e-16,-0.00039284,0,-0.00045967,-0.00013167
0.04,-5.5511e-16,-0.00052044,0,-0.00065199,-0.00021886
0.05,-8.8818e-16,-0.00064641,0,-0.00086293,-0.00032667
0.06,-1.7764e-15,-0.00077079,0,-0.001092,-0.00045452
0.07,-2.5535e-15,-0.00089362,0,-0.0013386,-0.00060185
0.08,-2.2204e-15,-0.0010149,0,-0.0016023,-0.0007681
0.09,-2.3315e-15,-0.0011348,0,-0.0018826,-0.00095278
0.1,-3.4417e-15,-0.0012531,0,-0.0021791,-0.0011554
