QoISNf,QoIVEFf,dsigs,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.7882,1.7882,-0.1,-0.14971,-0.14975,-0.16356,-0.16361,0.00037946
1.7882,1.7882,-0.09,-0.13589,-0.13592,-0.14721,-0.14725,0.00034339
1.7882,1.7882,-0.08,-0.12183,-0.12186,-0.13085,-0.13089,0.00030693
1.7882,1.7882,-0.07,-0.10753,-0.10756,-0.1145,-0.11453,0.00027006
1.7882,1.7882,-0.06,-0.092974,-0.092999,-0.098139,-0.098167,0.00023278
1.7882,1.7882,-0.05,-0.078164,-0.078185,-0.081782,-0.081806,0.00019508
1.7882,1.7882,-0.04,-0.063089,-0.063107,-0.065426,-0.065445,0.00015695
1.7882,1.7882,-0.03,-0.047743,-0.047756,-0.049069,-0.049083,0.00011838
1.7882,1.7882,-0.02,-0.032118,-0.032127,-0.032713,-0.032722,7.94E-05
1.7882,1.7882,-0.01,-0.016206,-0.016211,-0.016356,-0.016361,3.99E-05
1.7882,1.7882,0,0,0,0,0,0
1.7882,1.7882,0.01,0.016509,0.016514,0.016356,0.016361,4.04E-05
1.7882,1.7882,0.02,0.03333,0.03334,0.032713,0.032722,8.13E-05
1.7882,1.7882,0.03,0.050472,0.050487,0.049069,0.049083,0.00012272
1.7882,1.7882,0.04,0.067944,0.067964,0.065426,0.065445,0.00016464
1.7882,1.7882,0.05,0.085755,0.085781,0.081782,0.081806,0.00020708
1.7882,1.7882,0.06,0.10392,0.10395,0.098139,0.098167,0.00025006
1.7882,1.7882,0.07,0.12244,0.12248,0.1145,0.11453,0.00029357
1.7882,1.7882,0.08,0.14133,0.14138,0.13085,0.13089,0.00033764
1.7882,1.7882,0.09,0.16061,0.16066,0.14721,0.14725,0.00038228
1.7882,1.7882,0.1,0.18028,0.18033,0.16356,0.16361,0.00042749
