prob_id,QoISNf,QoIVEFf,QoISNa,QoIVEFa,dsigt,dsigs,dq,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
19,1.9999,1.9999,1.9999,1.9999,0,0,-0.01,0,-0.019999,-0.019999,-0.019999,-0.019999,1.1815e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0,0,0,0,0,0
19,1.9999,1.9999,1.9999,1.9999,0,0,0.01,0,0.019999,0.019999,0.019999,0.019999,1.0043e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.02,0,0.039998,0.039998,0.039998,0.039998,1.1562e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.03,0,0.059996,0.059996,0.059996,0.059996,1.114e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.04,0,0.079995,0.079995,0.079995,0.079995,1.1562e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.05,0,0.099994,0.099994,0.099994,0.099994,1.0549e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.06,0,0.11999,0.11999,0.11999,0.11999,1.1393e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.07,0,0.13999,0.13999,0.13999,0.13999,1.2237e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.08,0,0.15999,0.15999,0.15999,0.15999,1.2406e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.09,0,0.17999,0.17999,0.17999,0.17999,1.4094e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0.1,0,0.19999,0.19999,0.19999,0.19999,1.3166e-16
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0,0,0,0,0,0
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.01,2.4426e-06,4.5809e-07,2.4426e-06,4.5809e-07,0.00033603
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.02,4.8852e-06,9.1617e-07,4.8852e-06,9.1617e-07,0.0006684
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.03,7.3277e-06,1.3743e-06,7.3277e-06,1.3743e-06,0.00099721
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.04,9.7703e-06,1.8323e-06,9.7703e-06,1.8323e-06,0.0013225
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.05,1.2213e-05,2.2904e-06,1.2213e-05,2.2904e-06,0.0016445
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.06,1.4655e-05,2.7485e-06,1.4655e-05,2.7485e-06,0.0019631
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.07,1.7098e-05,3.2066e-06,1.7098e-05,3.2066e-06,0.0022785
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.08,1.9541e-05,3.6647e-06,1.9541e-05,3.6647e-06,0.0025907
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.09,2.1983e-05,4.1228e-06,2.1983e-05,4.1228e-06,0.0028999
19,1.9999,1.9999,1.9999,1.9999,0,0,0,0.1,2.4426e-05,4.5809e-06,2.4426e-05,4.5809e-06,0.003206
20,3.9783,3.9783,3.9783,3.9783,-0.1,0,0,0,0.96679,0.97822,0.79006,0.78651,0.0041699
20,3.9783,3.9783,3.9783,3.9783,-0.09,0,0,0,0.84995,0.85948,0.71105,0.70786,0.0037046
20,3.9783,3.9783,3.9783,3.9783,-0.08,0,0,0,0.73838,0.74625,0.63205,0.62921,0.0032509
20,3.9783,3.9783,3.9783,3.9783,-0.07,0,0,0,0.63175,0.63815,0.55304,0.55056,0.002809
20,3.9783,3.9783,3.9783,3.9783,-0.06,0,0,0,0.52974,0.53484,0.47404,0.47191,0.0023788
20,3.9783,3.9783,3.9783,3.9783,-0.05,0,0,0,0.43205,0.43602,0.39503,0.39326,0.0019586
20,3.9783,3.9783,3.9783,3.9783,-0.04,0,0,0,0.33844,0.34139,0.31602,0.3146,0.0015484
20,3.9783,3.9783,3.9783,3.9783,-0.03,0,0,0,0.24864,0.25071,0.23702,0.23595,0.0011476
20,3.9783,3.9783,3.9783,3.9783,-0.02,0,0,0,0.16244,0.16373,0.15801,0.1573,0.00075617
20,3.9783,3.9783,3.9783,3.9783,-0.01,0,0,0,0.079623,0.080226,0.079006,0.078651,0.00037371
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0,0,0,0,0,0
20,3.9783,3.9783,3.9783,3.9783,0.01,0,0,0,-0.076608,-0.077137,-0.079006,-0.078651,0.00036522
20,3.9783,3.9783,3.9783,3.9783,0.02,0,0,0,-0.15037,-0.15136,-0.15801,-0.1573,0.0007222
20,3.9783,3.9783,3.9783,3.9783,0.03,0,0,0,-0.22143,-0.22283,-0.23702,-0.23595,0.0010712
20,3.9783,3.9783,3.9783,3.9783,0.04,0,0,0,-0.28994,-0.29169,-0.31602,-0.3146,0.0014126
