QoISNf,QoIVEFf,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.9999,1.9999,0,0,0,0,0,0
1.9999,1.9999,0.01,2.44E-06,4.58E-07,2.44E-06,4.58E-07,0.00033603
1.9999,1.9999,0.02,4.89E-06,9.16E-07,4.89E-06,9.16E-07,0.0006684
1.9999,1.9999,0.03,7.33E-06,1.37E-06,7.33E-06,1.37E-06,0.00099721
1.9999,1.9999,0.04,9.77E-06,1.83E-06,9.77E-06,1.83E-06,0.0013225
1.9999,1.9999,0.05,1.22E-05,2.29E-06,1.22E-05,2.29E-06,0.0016445
1.9999,1.9999,0.06,1.47E-05,2.75E-06,1.47E-05,2.75E-06,0.0019631
1.9999,1.9999,0.07,1.71E-05,3.21E-06,1.71E-05,3.21E-06,0.0022785
1.9999,1.9999,0.08,1.95E-05,3.66E-06,1.95E-05,3.66E-06,0.0025907
1.9999,1.9999,0.09,2.20E-05,4.12E-06,2.20E-05,4.12E-06,0.0028999
1.9999,1.9999,0.1,2.44E-05,4.58E-06,2.44E-05,4.58E-06,0.003206
