QoISNf,QoIVEFf,dsigs,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
7.5164,7.5164,-0.1,-0.6271,-0.62408,-0.68296,-0.67924,0.0013594
7.5164,7.5164,-0.09,-0.56905,-0.56628,-0.61466,-0.61132,0.0012291
7.5164,7.5164,-0.08,-0.51003,-0.50751,-0.54637,-0.54339,0.0010975
7.5164,7.5164,-0.07,-0.45002,-0.44777,-0.47807,-0.47547,0.00096478
7.5164,7.5164,-0.06,-0.38899,-0.38703,-0.40978,-0.40754,0.00083079
7.5164,7.5164,-0.05,-0.32693,-0.32525,-0.34148,-0.33962,0.00069555
7.5164,7.5164,-0.04,-0.26379,-0.26242,-0.27318,-0.2717,0.00055904
7.5164,7.5164,-0.03,-0.19956,-0.19851,-0.20489,-0.20377,0.00042126
7.5164,7.5164,-0.02,-0.1342,-0.13349,-0.13659,-0.13585,0.00028217
7.5164,7.5164,-0.01,-0.067693,-0.067329,-0.068296,-0.067924,0.00014175
7.5164,7.5164,0,0,0,0,0,0
7.5164,7.5164,0.01,0.068909,0.068529,0.068296,0.067924,0.00014311
7.5164,7.5164,0.02,0.13907,0.13829,0.13659,0.13585,0.00028761
7.5164,7.5164,0.03,0.21051,0.20931,0.20489,0.20377,0.0004335
7.5164,7.5164,0.04,0.28326,0.28164,0.27318,0.2717,0.00058082
7.5164,7.5164,0.05,0.35737,0.3553,0.34148,0.33962,0.00072961
7.5164,7.5164,0.06,0.43287,0.43033,0.40978,0.40754,0.00087988
7.5164,7.5164,0.07,0.5098,0.50676,0.47807,0.47547,0.0010316
7.5164,7.5164,0.08,0.5882,0.58465,0.54637,0.54339,0.0011849
7.5164,7.5164,0.09,0.66812,0.66403,0.61466,0.61132,0.0013398
7.5164,7.5164,0.1,0.74959,0.74494,0.68296,0.67924,0.0014962
