prob_id,QoISNf,QoIVEFf,QoISNa,QoIVEFa,dsigt,dsigs,dq,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
25,1.7882,1.7882,1.7879,1.7879,-0.1,0,0,0,0.39448,0.40183,0.33337,0.32722,0.0020521
25,1.7882,1.7882,1.7879,1.7879,-0.09,0,0,0,0.34726,0.35357,0.30004,0.2945,0.0018242
25,1.7882,1.7882,1.7879,1.7879,-0.08,0,0,0,0.30206,0.30742,0.2667,0.26178,0.0016017
25,1.7882,1.7882,1.7879,1.7879,-0.07,0,0,0,0.25877,0.26325,0.23336,0.22906,0.0013845
25,1.7882,1.7882,1.7879,1.7879,-0.06,0,0,0,0.21725,0.22092,0.20002,0.19633,0.0011725
25,1.7882,1.7882,1.7879,1.7879,-0.05,0,0,0,0.1774,0.18033,0.16669,0.16361,0.00096544
25,1.7882,1.7882,1.7879,1.7879,-0.04,0,0,0,0.13913,0.14138,0.13335,0.13089,0.00076323
25,1.7882,1.7882,1.7879,1.7879,-0.03,0,0,0,0.10233,0.10395,0.10001,0.098167,0.00056571
25,1.7882,1.7882,1.7879,1.7879,-0.02,0,0,0,0.066931,0.067964,0.066675,0.065445,0.00037275
25,1.7882,1.7882,1.7879,1.7879,-0.01,0,0,0,0.032844,0.03334,0.033337,0.032722,0.00018423
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0,0,0,0,0,0
25,1.7882,1.7882,1.7879,1.7879,0.01,0,0,0,-0.031669,-0.032127,-0.033337,-0.032722,0.00018005
25,1.7882,1.7882,1.7879,1.7879,0.02,0,0,0,-0.062226,-0.063107,-0.066675,-0.065445,0.00035603
25,1.7882,1.7882,1.7879,1.7879,0.03,0,0,0,-0.091728,-0.092999,-0.10001,-0.098167,0.00052807
25,1.7882,1.7882,1.7879,1.7879,0.04,0,0,0,-0.12023,-0.12186,-0.13335,-0.13089,0.00069627
25,1.7882,1.7882,1.7879,1.7879,0.05,0,0,0,-0.14778,-0.14975,-0.16669,-0.16361,0.00086075
25,1.7882,1.7882,1.7879,1.7879,0.06,0,0,0,-0.17443,-0.17671,-0.20002,-0.19633,0.0010216
25,1.7882,1.7882,1.7879,1.7879,0.07,0,0,0,-0.20022,-0.20278,-0.23336,-0.22906,0.0011789
25,1.7882,1.7882,1.7879,1.7879,0.08,0,0,0,-0.2252,-0.22802,-0.2667,-0.26178,0.0013328
25,1.7882,1.7882,1.7879,1.7879,0.09,0,0,0,-0.24939,-0.25245,-0.30004,-0.2945,0.0014833
25,1.7882,1.7882,1.7879,1.7879,0.1,0,0,0,-0.27284,-0.27613,-0.33337,-0.32722,0.0016306
25,1.7882,1.7882,1.7879,1.7879,0,-0.1,0,0,-0.14971,-0.14975,-0.16356,-0.16361,0.00037946
25,1.7882,1.7882,1.7879,1.7879,0,-0.09,0,0,-0.13589,-0.13592,-0.14721,-0.14725,0.00034339
25,1.7882,1.7882,1.7879,1.7879,0,-0.08,0,0,-0.12183,-0.12186,-0.13085,-0.13089,0.00030693
25,1.7882,1.7882,1.7879,1.7879,0,-0.07,0,0,-0.10753,-0.10756,-0.1145,-0.11453,0.00027006
25,1.7882,1.7882,1.7879,1.7879,0,-0.06,0,0,-0.092974,-0.092999,-0.098139,-0.098167,0.00023278
25,1.7882,1.7882,1.7879,1.7879,0,-0.05,0,0,-0.078164,-0.078185,-0.081782,-0.081806,0.00019508
25,1.7882,1.7882,1.7879,1.7879,0,-0.04,0,0,-0.063089,-0.063107,-0.065426,-0.065445,0.00015695
25,1.7882,1.7882,1.7879,1.7879,0,-0.03,0,0,-0.047743,-0.047756,-0.049069,-0.049083,0.00011838
25,1.7882,1.7882,1.7879,1.7879,0,-0.02,0,0,-0.032118,-0.032127,-0.032713,-0.032722,7.9377e-05
25,1.7882,1.7882,1.7879,1.7879,0,-0.01,0,0,-0.016206,-0.016211,-0.016356,-0.016361,3.9926e-05
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0,0,0,0,0,0
25,1.7882,1.7882,1.7879,1.7879,0,0.01,0,0,0.016509,0.016514,0.016356,0.016361,4.041e-05
25,1.7882,1.7882,1.7879,1.7879,0,0.02,0,0,0.03333,0.03334,0.032713,0.032722,8.1314e-05
25,1.7882,1.7882,1.7879,1.7879,0,0.03,0,0,0.050472,0.050487,0.049069,0.049083,0.00012272
25,1.7882,1.7882,1.7879,1.7879,0,0.04,0,0,0.067944,0.067964,0.065426,0.065445,0.00016464
25,1.7882,1.7882,1.7879,1.7879,0,0.05,0,0,0.085755,0.085781,0.081782,0.081806,0.00020708
25,1.7882,1.7882,1.7879,1.7879,0,0.06,0,0,0.10392,0.10395,0.098139,0.098167,0.00025006
25,1.7882,1.7882,1.7879,1.7879,0,0.07,0,0,0.12244,0.12248,0.1145,0.11453,0.00029357
25,1.7882,1.7882,1.7879,1.7879,0,0.08,0,0,0.14133,0.14138,0.13085,0.13089,0.00033764
25,1.7882,1.7882,1.7879,1.7879,0,0.09,0,0,0.16061,0.16066,0.14721,0.14725,0.00038228
25,1.7882,1.7882,1.7879,1.7879,0,0.1,0,0,0.18028,0.18033,0.16356,0.16361,0.00042749
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.1,0,-0.17882,-0.17879,-0.17882,-0.17879,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.09,0,-0.16094,-0.16091,-0.16094,-0.16091,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.08,0,-0.14306,-0.14303,-0.14306,-0.14303,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.07,0,-0.12517,-0.12515,-0.12517,-0.12515,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.06,0,-0.10729,-0.10727,-0.10729,-0.10727,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.05,0,-0.089411,-0.089394,-0.089411,-0.089394,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.04,0,-0.071528,-0.071515,-0.071528,-0.071515,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.03,0,-0.053646,-0.053637,-0.053646,-0.053637,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.02,0,-0.035764,-0.035758,-0.035764,-0.035758,2.864e-11
25,1.7882,1.7882,1.7879,1.7879,0,0,-0.01,0,-0.017882,-0.017879,-0.017882,-0.017879,1.1815e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0,0,0,0,0,0
25,1.7882,1.7882,1.7879,1.7879,0,0,0.01,0,0.017882,0.017879,0.017882,0.017879,1.0043e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.02,0,0.035764,0.035758,0.035764,0.035758,1.1562e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.03,0,0.053646,0.053637,0.053646,0.053637,1.114e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.04,0,0.071528,0.071515,0.071528,0.071515,1.1562e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.05,0,0.089411,0.089394,0.089411,0.089394,1.0549e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.06,0,0.10729,0.10727,0.10729,0.10727,1.1393e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.07,0,0.12517,0.12515,0.12517,0.12515,1.2237e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.08,0,0.14306,0.14303,0.14306,0.14303,1.2406e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.09,0,0.16094,0.16091,0.16094,0.16091,1.4094e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0.1,0,0.17882,0.17879,0.17882,0.17879,1.3166e-16
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0,0,0,0,0,0
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.01,0.0042358,0.0045961,0.0042358,0.0045961,0.00033603
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.02,0.0084716,0.0091922,0.0084716,0.0091922,0.0006684
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.03,0.012707,0.013788,0.012707,0.013788,0.00099721
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.04,0.016943,0.018384,0.016943,0.018384,0.0013225
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.05,0.021179,0.022981,0.021179,0.022981,0.0016445
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.06,0.025415,0.027577,0.025415,0.027577,0.0019631
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.07,0.029651,0.032173,0.029651,0.032173,0.0022785
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.08,0.033886,0.036769,0.033886,0.036769,0.0025907
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.09,0.038122,0.041365,0.038122,0.041365,0.0028999
25,1.7882,1.7882,1.7879,1.7879,0,0,0,0.1,0.042358,0.045961,0.042358,0.045961,0.003206

