QoISNf,QoIVEFf,dq,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
3.9783,3.9783,-0.1,-0.39783,-0.39783,-0.39783,-0.39783,1.4117E-16
3.9783,3.9783,-0.09,-0.35805,-0.35805,-0.35805,-0.35805,1.2406E-16
3.9783,3.9783,-0.08,-0.31826,-0.31826,-0.31826,-0.31826,1.369E-16
3.9783,3.9783,-0.07,-0.27848,-0.27848,-0.27848,-0.27848,1.4032E-16
3.9783,3.9783,-0.06,-0.2387,-0.2387,-0.2387,-0.2387,1.446E-16
3.9783,3.9783,-0.05,-0.19891,-0.19891,-0.19891,-0.19891,1.4374E-16
3.9783,3.9783,-0.04,-0.15913,-0.15913,-0.15913,-0.15913,1.1893E-16
3.9783,3.9783,-0.03,-0.11935,-0.11935,-0.11935,-0.11935,1.4117E-16
3.9783,3.9783,-0.02,-0.079566,-0.079566,-0.079566,-0.079566,1.5315E-16
3.9783,3.9783,-0.01,-0.039783,-0.039783,-0.039783,-0.039783,1.2064E-16
3.9783,3.9783,0,0,0,0,0,0
3.9783,3.9783,0.01,0.039783,0.039783,0.039783,0.039783,1.1807E-16
3.9783,3.9783,0.02,0.079566,0.079566,0.079566,0.079566,1.4716E-16
3.9783,3.9783,0.03,0.11935,0.11935,0.11935,0.11935,1.2748E-16
3.9783,3.9783,0.04,0.15913,0.15913,0.15913,0.15913,1.5829E-16
3.9783,3.9783,0.05,0.19891,0.19891,0.19891,0.19891,1.2321E-16
3.9783,3.9783,0.06,0.2387,0.2387,0.2387,0.2387,1.4203E-16
3.9783,3.9783,0.07,0.27848,0.27848,0.27848,0.27848,1.4032E-16
3.9783,3.9783,0.08,0.31826,0.31826,0.31826,0.31826,1.2748E-16
3.9783,3.9783,0.09,0.35805,0.35805,0.35805,0.35805,1.3519E-16
3.9783,3.9783,0.1,0.39783,0.39783,0.39783,0.39783,1.2834E-16
