QoISNf,QoIVEFf,dsigs,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.9999,1.9999,-0.1,-0.18178,-0.18178,-0.19995,-0.19996,0.00037946
1.9999,1.9999,-0.09,-0.1651,-0.16511,-0.17995,-0.17996,0.00034339
1.9999,1.9999,-0.08,-0.14811,-0.14812,-0.15996,-0.15997,0.00030693
1.9999,1.9999,-0.07,-0.13081,-0.13082,-0.13996,-0.13997,0.00027006
1.9999,1.9999,-0.06,-0.11318,-0.11319,-0.11997,-0.11997,0.00023278
1.9999,1.9999,-0.05,-0.095215,-0.095219,-0.099974,-0.099978,0.00019508
1.9999,1.9999,-0.04,-0.076904,-0.076907,-0.079979,-0.079983,0.00015695
1.9999,1.9999,-0.03,-0.058238,-0.05824,-0.059984,-0.059987,0.00011838
1.9999,1.9999,-0.02,-0.039206,-0.039207,-0.03999,-0.039991,7.94E-05
1.9999,1.9999,-0.01,-0.019797,-0.019798,-0.019995,-0.019996,3.99E-05
1.9999,1.9999,0,0,0,0,0,0
1.9999,1.9999,0.01,0.020197,0.020198,0.019995,0.019996,4.04E-05
1.9999,1.9999,0.02,0.040805,0.040807,0.03999,0.039991,8.13E-05
1.9999,1.9999,0.03,0.061839,0.061842,0.059984,0.059987,0.00012272
1.9999,1.9999,0.04,0.08331,0.083314,0.079979,0.079983,0.00016464
1.9999,1.9999,0.05,0.10523,0.10524,0.099974,0.099978,0.00020708
1.9999,1.9999,0.06,0.12762,0.12763,0.11997,0.11997,0.00025006
1.9999,1.9999,0.07,0.15049,0.1505,0.13996,0.13997,0.00029357
1.9999,1.9999,0.08,0.17386,0.17387,0.15996,0.15997,0.00033764
1.9999,1.9999,0.09,0.19774,0.19775,0.17995,0.17996,0.00038228
1.9999,1.9999,0.1,0.22215,0.22217,0.19995,0.19996,0.00042749
