QoISNf,QoIVEFf,dsigt,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.9999,1.9999,-0.1,0.4996,0.49984,0.39993,0.39991,0.0020521
1.9999,1.9999,-0.09,0.43869,0.43889,0.35994,0.35992,0.0018242
1.9999,1.9999,-0.08,0.38069,0.38084,0.31994,0.31993,0.0016017
1.9999,1.9999,-0.07,0.32537,0.32549,0.27995,0.27994,0.0013845
1.9999,1.9999,-0.06,0.27256,0.27265,0.23996,0.23995,0.0011725
1.9999,1.9999,-0.05,0.2221,0.22217,0.19997,0.19996,0.00096544
1.9999,1.9999,-0.04,0.17382,0.17387,0.15997,0.15997,0.00076323
1.9999,1.9999,-0.03,0.1276,0.12763,0.11998,0.11997,0.00056571
1.9999,1.9999,-0.02,0.083294,0.083314,0.079986,0.079983,0.00037275
1.9999,1.9999,-0.01,0.040798,0.040807,0.039993,0.039991,0.00018423
1.9999,1.9999,0,0,0,0,0,0
1.9999,1.9999,0.01,-0.0392,-0.039207,-0.039993,-0.039991,0.00018005
1.9999,1.9999,0.02,-0.076894,-0.076907,-0.079986,-0.079983,0.00035603
1.9999,1.9999,0.03,-0.11317,-0.11319,-0.11998,-0.11997,0.00052807
1.9999,1.9999,0.04,-0.1481,-0.14812,-0.15997,-0.15997,0.00069627
1.9999,1.9999,0.05,-0.18176,-0.18178,-0.19997,-0.19996,0.00086075
1.9999,1.9999,0.06,-0.21422,-0.21425,-0.23996,-0.23995,0.0010216
1.9999,1.9999,0.07,-0.24554,-0.24557,-0.27995,-0.27994,0.0011789
1.9999,1.9999,0.08,-0.27578,-0.27581,-0.31994,-0.31993,0.0013328
1.9999,1.9999,0.09,-0.305,-0.30503,-0.35994,-0.35992,0.0014833
1.9999,1.9999,0.1,-0.33324,-0.33328,-0.39993,-0.39991,0.0016306
