QoISNf,QoIVEFf,dsigt,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
1.7882,1.7882,-0.1,0.39448,0.40183,0.33337,0.32722,0.0020521
1.7882,1.7882,-0.09,0.34726,0.35357,0.30004,0.2945,0.0018242
1.7882,1.7882,-0.08,0.30206,0.30742,0.2667,0.26178,0.0016017
1.7882,1.7882,-0.07,0.25877,0.26325,0.23336,0.22906,0.0013845
1.7882,1.7882,-0.06,0.21725,0.22092,0.20002,0.19633,0.0011725
1.7882,1.7882,-0.05,0.1774,0.18033,0.16669,0.16361,0.00096544
1.7882,1.7882,-0.04,0.13913,0.14138,0.13335,0.13089,0.00076323
1.7882,1.7882,-0.03,0.10233,0.10395,0.10001,0.098167,0.00056571
1.7882,1.7882,-0.02,0.066931,0.067964,0.066675,0.065445,0.00037275
1.7882,1.7882,-0.01,0.032844,0.03334,0.033337,0.032722,0.00018423
1.7882,1.7882,0,0,0,0,0,0
1.7882,1.7882,0.01,-0.031669,-0.032127,-0.033337,-0.032722,0.00018005
1.7882,1.7882,0.02,-0.062226,-0.063107,-0.066675,-0.065445,0.00035603
1.7882,1.7882,0.03,-0.091728,-0.092999,-0.10001,-0.098167,0.00052807
1.7882,1.7882,0.04,-0.12023,-0.12186,-0.13335,-0.13089,0.00069627
1.7882,1.7882,0.05,-0.14778,-0.14975,-0.16669,-0.16361,0.00086075
1.7882,1.7882,0.06,-0.17443,-0.17671,-0.20002,-0.19633,0.0010216
1.7882,1.7882,0.07,-0.20022,-0.20278,-0.23336,-0.22906,0.0011789
1.7882,1.7882,0.08,-0.2252,-0.22802,-0.2667,-0.26178,0.0013328
1.7882,1.7882,0.09,-0.24939,-0.25245,-0.30004,-0.2945,0.0014833
1.7882,1.7882,0.1,-0.27284,-0.27613,-0.33337,-0.32722,0.0016306
