QoISNf,QoIVEFf,dsigs,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
3.9783,3.9783,-0.1,-0.358,-0.35809,-0.39317,-0.39326,0.00076637
3.9783,3.9783,-0.09,-0.32511,-0.32519,-0.35385,-0.35393,0.00069353
3.9783,3.9783,-0.08,-0.29162,-0.29169,-0.31454,-0.3146,0.00061991
3.9783,3.9783,-0.07,-0.25752,-0.25757,-0.27522,-0.27528,0.00054549
3.9783,3.9783,-0.06,-0.22278,-0.22283,-0.2359,-0.23595,0.00047022
3.9783,3.9783,-0.05,-0.18738,-0.18743,-0.19659,-0.19663,0.0003941
3.9783,3.9783,-0.04,-0.15132,-0.15136,-0.15727,-0.1573,0.0003171
3.9783,3.9783,-0.03,-0.11458,-0.1146,-0.11795,-0.11798,0.0002392
3.9783,3.9783,-0.02,-0.07712,-0.077137,-0.078634,-0.078651,0.0001604
3.9783,3.9783,-0.01,-0.038935,-0.038943,-0.039317,-0.039326,8.07E-05
3.9783,3.9783,0,0,0,0,0,0
3.9783,3.9783,0.01,0.039707,0.039715,0.039317,0.039326,8.16E-05
3.9783,3.9783,0.02,0.080209,0.080226,0.078634,0.078651,0.00016424
3.9783,3.9783,0.03,0.12153,0.12155,0.11795,0.11798,0.00024784
3.9783,3.9783,0.04,0.1637,0.16373,0.15727,0.1573,0.00033245
3.9783,3.9783,0.05,0.20673,0.20677,0.19659,0.19663,0.0004181
3.9783,3.9783,0.06,0.25066,0.25071,0.2359,0.23595,0.00050481
3.9783,3.9783,0.07,0.29552,0.29557,0.27522,0.27528,0.00059258
3.9783,3.9783,0.08,0.34133,0.34139,0.31454,0.3146,0.00068146
3.9783,3.9783,0.09,0.38813,0.3882,0.35385,0.35393,0.00077152
3.9783,3.9783,0.1,0.43594,0.43602,0.39317,0.39326,0.00086275
