QoISNf,QoIVEFf,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
3.9783,3.9783,0,0,0,0,0,0
3.9783,3.9783,0.01,0.00021715,0.00011416,0.00021715,0.00011416,0.00034922
3.9783,3.9783,0.02,0.00043429,0.00022831,0.00043429,0.00022831,0.00069632
3.9783,3.9783,0.03,0.00065144,0.00034247,0.00065144,0.00034247,0.0010413
3.9783,3.9783,0.04,0.00086858,0.00045663,0.00086858,0.00045663,0.0013843
3.9783,3.9783,0.05,0.0010857,0.00057078,0.0010857,0.00057078,0.0017253
3.9783,3.9783,0.06,0.0013029,0.00068494,0.0013029,0.00068494,0.0020642
3.9783,3.9783,0.07,0.00152,0.0007991,0.00152,0.0007991,0.0024012
3.9783,3.9783,0.08,0.0017372,0.00091326,0.0017372,0.00091326,0.0027363
3.9783,3.9783,0.09,0.0019543,0.0010274,0.0019543,0.0010274,0.0030694
3.9783,3.9783,0.1,0.0021715,0.0011416,0.0021715,0.0011416,0.0034007
