-0.1,-0.18154,-0.17972,-0.18154,-0.17972,-0.18123
-0.09,-0.16339,-0.16175,-0.16339,-0.16175,-0.16311
-0.08,-0.14524,-0.14378,-0.14524,-0.14378,-0.14499
-0.07,-0.12708,-0.1258,-0.12708,-0.1258,-0.12686
-0.06,-0.10893,-0.10783,-0.10893,-0.10783,-0.10874
-0.05,-0.090772,-0.08986,-0.090772,-0.08986,-0.090616
-0.04,-0.072618,-0.071888,-0.072618,-0.071888,-0.072493
-0.03,-0.054463,-0.053916,-0.054463,-0.053916,-0.054369
-0.02,-0.036309,-0.035944,-0.036309,-0.035944,-0.036246
-0.01,-0.018154,-0.017972,-0.018154,-0.017972,-0.018123
0,0,0,0,0,0
0.01,0.018154,0.017972,0.018154,0.017972,0.018123
0.02,0.036309,0.035944,0.036309,0.035944,0.036246
0.03,0.054463,0.053916,0.054463,0.053916,0.054369
0.04,0.072618,0.071888,0.072618,0.071888,0.072493
0.05,0.090772,0.08986,0.090772,0.08986,0.090616
0.06,0.10893,0.10783,0.10893,0.10783,0.10874
0.07,0.12708,0.1258,0.12708,0.1258,0.12686
0.08,0.14524,0.14378,0.14524,0.14378,0.14499
0.09,0.16339,0.16175,0.16339,0.16175,0.16311
0.1,0.18154,0.17972,0.18154,0.17972,0.18123
