0,0,0,0,0,0,0
0.01,0.00010609,7.1258e-05,0.0001065,7.1264e-05,7.1264e-05,0.00010566
0.02,0.00021136,0.00014193,0.00021299,0.00014182,0.00014182,0.0002106
0.03,0.00031582,0.00021201,0.00031949,0.00021169,0.00021169,0.00031482
0.04,0.00041947,0.00028152,0.00042599,0.00028086,0.00028086,0.00041833
0.05,0.00052233,0.00035046,0.00053248,0.00034937,0.00034937,0.00052115
0.06,0.00062441,0.00041884,0.00063898,0.0004172,0.0004172,0.00062329
0.07,0.0007257,0.00048666,0.00074548,0.00048439,0.00048439,0.00072475
0.08,0.00082621,0.00055392,0.00085198,0.00055092,0.00055092,0.00082555
0.09,0.00092596,0.00062065,0.00095847,0.00061682,0.00061682,0.00092569
0.1,0.0010249,0.00068683,0.001065,0.0006821,0.0006821,0.0010252
