-0.1,0.12957,0.10537,0.1206,0.10182
-0.09,0.11575,0.094353,0.10854,0.091542
-0.08,0.10213,0.08345,0.096482,0.081286
-0.07,0.088717,0.072653,0.084422,0.071052
-0.06,0.075494,0.061967,0.072362,0.060841
-0.05,0.062461,0.051385,0.060301,0.050651
-0.04,0.049613,0.0409,0.048241,0.040482
-0.03,0.036947,0.030528,0.036181,0.030333
-0.02,0.024459,0.020249,0.024121,0.020203
-0.01,0.012144,0.010074,0.01206,0.010093
0,0,0,0,0
0.01,-0.011978,-0.0099811,-0.01206,-0.010075
0.02,-0.023792,-0.019863,-0.024121,-0.020132
0.03,-0.035447,-0.029654,-0.036181,-0.030173
0.04,-0.046945,-0.03935,-0.048241,-0.040198
0.05,-0.05829,-0.048951,-0.060301,-0.050207
0.06,-0.069484,-0.058465,-0.072362,-0.0602
0.07,-0.080532,-0.067884,-0.084422,-0.070179
0.08,-0.091435,-0.077216,-0.096482,-0.080143
0.09,-0.1022,-0.086463,-0.10854,-0.090093
0.1,-0.11282,-0.09562,-0.1206,-0.10003
