0,0,0,0,0,0,0
0.01,0.027924,0.026216,0.027924,0.026216,0.027924,0.027768
0.02,0.055848,0.052433,0.055848,0.052433,0.055848,0.055536
0.03,0.083772,0.078649,0.083772,0.078649,0.083772,0.083303
0.04,0.1117,0.10487,0.1117,0.10487,0.1117,0.11107
0.05,0.13962,0.13108,0.13962,0.13108,0.13962,0.13884
0.06,0.16754,0.1573,0.16754,0.1573,0.16754,0.16661
0.07,0.19547,0.18351,0.19547,0.18351,0.19547,0.19437
0.08,0.22339,0.20973,0.22339,0.20973,0.22339,0.22214
0.09,0.25132,0.23595,0.25132,0.23595,0.25132,0.24991
0.1,0.27924,0.26216,0.27924,0.26216,0.27924,0.27768
