-0.1,-0.13961,-0.1396,-0.13961,-0.1396
-0.09,-0.12565,-0.12564,-0.12565,-0.12564
-0.08,-0.11169,-0.11168,-0.11169,-0.11168
-0.07,-0.097726,-0.097718,-0.097726,-0.097718
-0.06,-0.083765,-0.083758,-0.083765,-0.083758
-0.05,-0.069804,-0.069799,-0.069804,-0.069799
-0.04,-0.055843,-0.055839,-0.055843,-0.055839
-0.03,-0.041883,-0.041879,-0.041883,-0.041879
-0.02,-0.027922,-0.027919,-0.027922,-0.027919
-0.01,-0.013961,-0.01396,-0.013961,-0.01396
0,0,0,0,0
0.01,0.013961,0.01396,0.013961,0.01396
0.02,0.027922,0.027919,0.027922,0.027919
0.03,0.041883,0.041879,0.041883,0.041879
0.04,0.055843,0.055839,0.055843,0.055839
0.05,0.069804,0.069799,0.069804,0.069799
0.06,0.083765,0.083758,0.083765,0.083758
0.07,0.097726,0.097718,0.097726,0.097718
0.08,0.11169,0.11168,0.11169,0.11168
0.09,0.12565,0.12564,0.12565,0.12564
0.1,0.13961,0.1396,0.13961,0.1396
